concept id	name	element file id
FMA20394	human body	FJ2415
FMA20394	human body	FJ2899
FMA20394	human body	FJ2894
FMA20394	human body	FJ1563
FMA20394	human body	FJ2893
FMA20394	human body	FJ1562
FMA20394	human body	FJ1565
FMA20394	human body	FJ2896
FMA20394	human body	FJ2895
FMA20394	human body	FJ1564
FMA20394	human body	FJ2890
FMA20394	human body	FJ2892
FMA20394	human body	FJ1561
FMA20394	human body	FJ2891
FMA20394	human body	FJ1560
FMA20394	human body	FJ1470M
FMA20394	human body	FJ1385M
FMA20394	human body	FJ2429
FMA20394	human body	FJ2428
FMA20394	human body	FJ1578
FMA20394	human body	FJ2425
FMA20394	human body	FJ1577
FMA20394	human body	FJ2424
FMA20394	human body	FJ2427
FMA20394	human body	FJ1579
FMA20394	human body	FJ2426
FMA20394	human body	FJ1574
FMA20394	human body	FJ2421
FMA20394	human body	FJ1573
FMA20394	human body	FJ2420
FMA20394	human body	FJ1576
FMA20394	human body	FJ2423
FMA20394	human body	FJ1575
FMA20394	human body	FJ2422
FMA20394	human body	FJ1570
FMA20394	human body	FJ1572
FMA20394	human body	FJ1571
FMA20394	human body	FJ1590
FMA20394	human body	FJ1471M
FMA20394	human body	FJ1386M
FMA20394	human body	FJ2439
FMA20394	human body	FJ1589
FMA20394	human body	FJ2436
FMA20394	human body	FJ1588
FMA20394	human body	FJ2435
FMA20394	human body	FJ2438
FMA20394	human body	FJ2437
FMA20394	human body	FJ1585
FMA20394	human body	FJ2432
FMA20394	human body	FJ1584
FMA20394	human body	FJ2431
FMA20394	human body	FJ1587
FMA20394	human body	FJ2434
FMA20394	human body	FJ1586
FMA20394	human body	FJ2433
FMA20394	human body	FJ1581
FMA20394	human body	FJ1580
FMA20394	human body	FJ1583
FMA20394	human body	FJ2430
FMA20394	human body	FJ1582
FMA20394	human body	FJ1690M
FMA20394	human body	FJ1387M
FMA20394	human body	FJ1472M
FMA20394	human body	FJ1516
FMA20394	human body	FJ1515
FMA20394	human body	FJ1518
FMA20394	human body	FJ1517
FMA20394	human body	FJ1512
FMA20394	human body	FJ1996
FMA20394	human body	FJ1511
FMA20394	human body	FJ1995
FMA20394	human body	FJ1514
FMA20394	human body	FJ1513
FMA20394	human body	FJ1991
FMA20394	human body	FJ1510
FMA20394	human body	FJ1994
FMA20394	human body	FJ1993
FMA20394	human body	FJ1388M
FMA20394	human body	FJ1691M
FMA20394	human body	FJ1473M
FMA20394	human body	FJ1527
FMA20394	human body	FJ1526
FMA20394	human body	FJ1528
FMA20394	human body	FJ1522
FMA20394	human body	FJ1525
FMA20394	human body	FJ1524
FMA20394	human body	FJ1521
FMA20394	human body	FJ1520
FMA20394	human body	FJ1389M
FMA20394	human body	FJ1474M
FMA20394	human body	FJ1692M
FMA20394	human body	FJ1538
FMA20394	human body	FJ1537
FMA20394	human body	FJ1539
FMA20394	human body	FJ1534
FMA20394	human body	FJ1533
FMA20394	human body	FJ1536
FMA20394	human body	FJ1535
FMA20394	human body	FJ1532
FMA20394	human body	FJ1693M
FMA20394	human body	FJ1475M
FMA20394	human body	FJ1549
FMA20394	human body	FJ1548
FMA20394	human body	FJ1545
FMA20394	human body	FJ1544
FMA20394	human body	FJ1547
FMA20394	human body	FJ1546
FMA20394	human body	FJ1541
FMA20394	human body	FJ1540
FMA20394	human body	FJ1543
FMA20394	human body	FJ1542
FMA20394	human body	FJ1476M
FMA20394	human body	FJ2807
FMA20394	human body	FJ2806
FMA20394	human body	FJ2809
FMA20394	human body	FJ2808
FMA20394	human body	FJ1694M
FMA20394	human body	FJ2803
FMA20394	human body	FJ2802
FMA20394	human body	FJ2805
FMA20394	human body	FJ2804
FMA20394	human body	FJ2801
FMA20394	human body	FJ2800
FMA20394	human body	FJ1950
FMA20394	human body	FJ1477M
FMA20394	human body	FJ2818
FMA20394	human body	FJ2817
FMA20394	human body	FJ1695M
FMA20394	human body	FJ2819
FMA20394	human body	FJ2814
FMA20394	human body	FJ1967
FMA20394	human body	FJ2813
FMA20394	human body	FJ2816
FMA20394	human body	FJ1969
FMA20394	human body	FJ2815
FMA20394	human body	FJ2810
FMA20394	human body	FJ2812
FMA20394	human body	FJ2811
FMA20394	human body	FJ1961
FMA20394	human body	FJ1478M
FMA20394	human body	FJ1696M
FMA20394	human body	FJ1430M
FMA20394	human body	FJ2824
FMA20394	human body	FJ1977
FMA20394	human body	FJ1979
FMA20394	human body	FJ2821
FMA20394	human body	FJ1974
FMA20394	human body	FJ2820
FMA20394	human body	FJ1973
FMA20394	human body	FJ2823
FMA20394	human body	FJ1976
FMA20394	human body	FJ2822
FMA20394	human body	FJ1975
FMA20394	human body	FJ1970
FMA20394	human body	FJ1972
FMA20394	human body	FJ1971
FMA20394	human body	FJ1697M
FMA20394	human body	FJ1479M
FMA20394	human body	FJ1509
FMA20394	human body	FJ1508
FMA20394	human body	FJ1431M
FMA20394	human body	FJ1505
FMA20394	human body	FJ1504
FMA20394	human body	FJ1988
FMA20394	human body	FJ1507
FMA20394	human body	FJ1506
FMA20394	human body	FJ1501
FMA20394	human body	FJ1985
FMA20394	human body	FJ1500
FMA20394	human body	FJ1503
FMA20394	human body	FJ1987
FMA20394	human body	FJ1502
FMA20394	human body	FJ1986
FMA20394	human body	FJ1981
FMA20394	human body	FJ1432M
FMA20394	human body	FJ1698M
FMA20394	human body	FJ1916
FMA20394	human body	FJ1914
FMA20394	human body	FJ1913
FMA20394	human body	FJ1699M
FMA20394	human body	FJ1433M
FMA20394	human body	FJ1928
FMA20394	human body	FJ1924
FMA20394	human body	FJ1434M
FMA20394	human body	FJ1938
FMA20394	human body	FJ1937
FMA20394	human body	FJ1939
FMA20394	human body	FJ1934
FMA20394	human body	FJ1933
FMA20394	human body	FJ1936
FMA20394	human body	FJ1935
FMA20394	human body	FJ1932
FMA20394	human body	FJ1931
FMA20394	human body	FJ1435M
FMA20394	human body	FJ1520M
FMA20394	human body	FJ1521M
FMA20394	human body	FJ1654M
FMA20394	human body	FJ1436M
FMA20394	human body	FJ3297
FMA20394	human body	FJ3296
FMA20394	human body	FJ3299
FMA20394	human body	FJ3298
FMA20394	human body	FJ1522M
FMA20394	human body	FJ1437M
FMA20394	human body	FJ1438M
FMA20394	human body	FJ1656M
FMA20394	human body	FJ1657M
FMA20394	human body	FJ1439M
FMA20394	human body	FJ1524M
FMA20394	human body	FJ3260
FMA20394	human body	FJ3262
FMA20394	human body	FJ3261
FMA20394	human body	FJ1525M
FMA20394	human body	FJ1658M
