concept id	name	element file id.obj
newnode6252618	right lateral frontobasal artery	FJ1685.obj
newnode6545319	artery of right postcentral sulcus	FJ1666.obj
newnode7294846	right ophthalmic artery	FJ1695.obj
newnode3176467	right anterior cerebral artery	FJ1654.obj
FMA50169	anterior communicating artery	FJ1655.obj
newnode8973089	right callosomarginal artery	FJ1676.obj
newnode7292692	paracentral branch of right callosomarginal artery	FJ1698.obj
newnode7292692	paracentral branch of right callosomarginal artery	FJ1697.obj
newnode7292692	paracentral branch of right callosomarginal artery	FJ1696.obj
newnode6898196	posteromedial branch of right callosomarginal artery	FJ1722.obj
newnode9684179	intermediomedial branch of right callosomarginal artery	FJ1681.obj
newnode863330	right medial frontobasal artery	FJ1690.obj
newnode3512006	right pericallosal artery	FJ1699.obj
newnode2876484	precuneal branch of right pericallosal artery	FJ1671.obj
newnode7755036	right anterior choroidal artery	FJ1658.obj
FMA76128	trunk of inferior terminal branch of right middle cerebral artery	FJ1718.obj
FMA50476	branch of right middle cerebral artery to right angular gyrus	FJ1673.obj
FMA50470	posterior temporal branch of right middle cerebral artery	FJ1717.obj
FMA50467	middle temporal branch of right middle cerebral artery	FJ1693.obj
FMA50473	temporo-occipital branch of right middle cerebral artery	FJ1729.obj
FMA50366	sphenoid part of right middle cerebral artery	FJ1692.obj
FMA50380	right polar temporal artery	FJ1712.obj
FMA50383	right anterior temporal artery	FJ1659.obj
FMA50377	anterolateral central branch of right middle cerebral artery	FJ1662.obj
FMA50377	anterolateral central branch of right middle cerebral artery	FJ1663.obj
FMA50369	insular part of right middle cerebral artery	FJ1694.obj
FMA50369	insular part of right middle cerebral artery	FJ1660.obj
FMA3953	right subclavian artery	FJ3579.obj
FMA22675	right lateral thoracic artery	FJ1938.obj
FMA10697	right inferior thyroid artery	FJ2209.obj
FMA10698	right suprascapular artery	FJ2303.obj
FMA10699	right transverse cervical artery	FJ2309.obj
FMA4057	right dorsal scapular artery	FJ2284.obj
FMA10700	right superficial cervical artery	FJ2308.obj
FMA3992	right thyrocervical trunk	FJ2307.obj
FMA5042	right superior intercostal artery	FJ1935.obj
FMA66242	right first posterior intercostal artery	FJ1939.obj
FMA5041	right second posterior intercostal artery	FJ1950.obj
FMA5039	right costocervical trunk	FJ2276.obj
FMA10660	right deep cervical artery	FJ2278.obj
FMA22691	right brachial artery	FJ2271.obj
FMA22696	right deep brachial artery	FJ2277.obj
FMA23126	radial collateral branch of right deep brachial artery	FJ2262.obj
FMA23124	middle collateral branch of right deep brachial artery	FJ2362.obj
FMA22733	right radial artery	FJ2294.obj
newnode2122098	right dorsal metacarpal arteries	FJ2347.obj
newnode2957109	right dorsal digital arteries	FJ2346.obj
