concept id	name	element file id.obj
newnode5911299	right lateral circumflex femoral artery	FJ2195.obj
FMA21422	descending branch of right lateral circumflex femoral artery	FJ2057.obj
FMA18809	right internal iliac artery	FJ3569.obj
FMA14766	left common iliac artery	FJ3464.obj
FMA18807	left external iliac artery	FJ3466.obj
FMA70250	left femoral artery	FJ2074.obj
FMA20736	left superficial epigastric artery	FJ3529.obj
FMA77381	left popliteal artery	FJ2086.obj
newnode507589	left fibular artery	FJ2093.obj
FMA43897	left anterior tibial artery	FJ2065.obj
FMA43917	left dorsalis pedis artery	FJ2073.obj
FMA69491	left lateral tarsal artery	FJ2081.obj
newnode2319265	dorsal digital arteries of left foot	FJ2072.obj
FMA69495	left arcuate artery	FJ2067.obj
FMA43908	left anterior tibial recurrent artery	FJ2066.obj
FMA43899	left posterior tibial artery	FJ2087.obj
FMA43930	left medial plantar artery	FJ2082.obj
FMA43938	left superficial medial plantar artery	FJ2089.obj
