concept id	name	element file id
FMA20394	human body	FJ2468
FMA20394	human body	FJ3315
FMA20394	human body	FJ3318
FMA20394	human body	FJ3317
FMA20394	human body	FJ2223
FMA20394	human body	FJ2465
FMA20394	human body	FJ3312
FMA20394	human body	FJ1375
FMA20394	human body	FJ2464
FMA20394	human body	FJ3311
FMA20394	human body	FJ2225
FMA20394	human body	FJ2467
FMA20394	human body	FJ3314
FMA20394	human body	FJ3553
FMA20394	human body	FJ2224
FMA20394	human body	FJ2466
FMA20394	human body	FJ3313
FMA20394	human body	FJ2461
FMA20394	human body	FJ1371
FMA20394	human body	FJ2460
FMA20394	human body	FJ1374
FMA20394	human body	FJ2221
FMA20394	human body	FJ2463
FMA20394	human body	FJ3310
FMA20394	human body	FJ1373
FMA20394	human body	FJ2220
FMA20394	human body	FJ2462
FMA20394	human body	FJ3570
FMA20394	human body	FJ2481
FMA20394	human body	FJ2480
FMA20394	human body	FJ3327
FMA20394	human body	FJ2479
FMA20394	human body	FJ3326
FMA20394	human body	FJ3329
FMA20394	human body	FJ3568
FMA20394	human body	FJ2239
FMA20394	human body	FJ3328
FMA20394	human body	FJ3569
FMA20394	human body	FJ2476
FMA20394	human body	FJ3323
FMA20394	human body	FJ3566
FMA20394	human body	FJ2475
FMA20394	human body	FJ3322
FMA20394	human body	FJ3567
FMA20394	human body	FJ2236
FMA20394	human body	FJ2478
FMA20394	human body	FJ3325
FMA20394	human body	FJ3564
FMA20394	human body	FJ2477
FMA20394	human body	FJ3324
FMA20394	human body	FJ3565
FMA20394	human body	FJ2230
FMA20394	human body	FJ2472
FMA20394	human body	FJ1382
FMA20394	human body	FJ2471
FMA20394	human body	FJ2232
FMA20394	human body	FJ2474
FMA20394	human body	FJ3321
FMA20394	human body	FJ2231
FMA20394	human body	FJ2473
FMA20394	human body	FJ3320
FMA20394	human body	FJ2649
FMA20394	human body	FJ1317
FMA20394	human body	FJ2648
FMA20394	human body	FJ2409
FMA20394	human body	FJ1798
FMA20394	human body	FJ2645
FMA20394	human body	FJ2887
FMA20394	human body	FJ1797
FMA20394	human body	FJ2644
FMA20394	human body	FJ2886
FMA20394	human body	FJ2405
FMA20394	human body	FJ2647
FMA20394	human body	FJ2889
FMA20394	human body	FJ2404
FMA20394	human body	FJ2646
FMA20394	human body	FJ2888
FMA20394	human body	FJ2641
FMA20394	human body	FJ2883
FMA20394	human body	FJ2640
FMA20394	human body	FJ2882
FMA20394	human body	FJ1796
FMA20394	human body	FJ2643
FMA20394	human body	FJ2885
FMA20394	human body	FJ1795
FMA20394	human body	FJ2642
FMA20394	human body	FJ2884
FMA20394	human body	FJ1790
FMA20394	human body	FJ1792
FMA20394	human body	FJ2881
FMA20394	human body	FJ1791
FMA20394	human body	FJ2418
FMA20394	human body	FJ1328
FMA20394	human body	FJ2417
FMA20394	human body	FJ2419
FMA20394	human body	FJ2656
FMA20394	human body	FJ2898
FMA20394	human body	FJ1324
FMA20394	human body	FJ2655
FMA20394	human body	FJ2897
FMA20394	human body	FJ2416
FMA20394	human body	FJ2415
FMA20394	human body	FJ2899
FMA20394	human body	FJ2652
FMA20394	human body	FJ2894
FMA20394	human body	FJ1320
FMA20394	human body	FJ2651
FMA20394	human body	FJ2893
FMA20394	human body	FJ1323
FMA20394	human body	FJ2654
FMA20394	human body	FJ2896
FMA20394	human body	FJ1322
FMA20394	human body	FJ2653
FMA20394	human body	FJ2895
FMA20394	human body	FJ2890
FMA20394	human body	FJ2650
FMA20394	human body	FJ2892
FMA20394	human body	FJ2891
FMA20394	human body	FJ2429
FMA20394	human body	FJ3519
FMA20394	human body	FJ3517
FMA20394	human body	FJ3518
FMA20394	human body	FJ1336
FMA20394	human body	FJ2425
FMA20394	human body	FJ2667
FMA20394	human body	FJ3515
FMA20394	human body	FJ2424
FMA20394	human body	FJ3516
FMA20394	human body	FJ2427
FMA20394	human body	FJ1337
FMA20394	human body	FJ2426
FMA20394	human body	FJ2668
FMA20394	human body	FJ3514
FMA20394	human body	FJ2421
FMA20394	human body	FJ3511
FMA20394	human body	FJ1331
FMA20394	human body	FJ2420
FMA20394	human body	FJ2423
FMA20394	human body	FJ2422
FMA20394	human body	FJ1471M
FMA20394	human body	FJ2439
FMA20394	human body	FJ3529
FMA20394	human body	FJ2436
FMA20394	human body	FJ2678
FMA20394	human body	FJ1346
FMA20394	human body	FJ2435
FMA20394	human body	FJ2677
FMA20394	human body	FJ1349
FMA20394	human body	FJ2438
FMA20394	human body	FJ3524
FMA20394	human body	FJ1348
FMA20394	human body	FJ2437
FMA20394	human body	FJ2679
FMA20394	human body	FJ2432
FMA20394	human body	FJ2674
FMA20394	human body	FJ3522
FMA20394	human body	FJ2431
FMA20394	human body	FJ2673
FMA20394	human body	FJ3523
FMA20394	human body	FJ1345
FMA20394	human body	FJ2434
FMA20394	human body	FJ2676
FMA20394	human body	FJ3520
FMA20394	human body	FJ2433
FMA20394	human body	FJ2675
FMA20394	human body	FJ2670
FMA20394	human body	FJ2430
FMA20394	human body	FJ2672
FMA20394	human body	FJ1340
FMA20394	human body	FJ2671
FMA20394	human body	FJ2609
FMA20394	human body	FJ2608
FMA20394	human body	FJ1758
FMA20394	human body	FJ2605
FMA20394	human body	FJ2604
FMA20394	human body	FJ2607
FMA20394	human body	FJ1759
FMA20394	human body	FJ2606
FMA20394	human body	FJ2601
FMA20394	human body	FJ2600
FMA20394	human body	FJ2603
FMA20394	human body	FJ2602
FMA20394	human body	FJ1750
FMA20394	human body	FJ1751
FMA20394	human body	FJ1993
FMA20394	human body	FJ1691M
FMA20394	human body	FJ2619
FMA20394	human body	FJ1769
FMA20394	human body	FJ2616
FMA20394	human body	FJ2615
FMA20394	human body	FJ2618
FMA20394	human body	FJ2617
FMA20394	human body	FJ2612
FMA20394	human body	FJ2611
FMA20394	human body	FJ1767
FMA20394	human body	FJ2614
FMA20394	human body	FJ2613
FMA20394	human body	FJ1760
FMA20394	human body	FJ2610
FMA20394	human body	FJ1762
FMA20394	human body	FJ1450M
FMA20394	human body	FJ2627
FMA20394	human body	FJ1537
FMA20394	human body	FJ1779
FMA20394	human body	FJ2626
FMA20394	human body	FJ2629
FMA20394	human body	FJ2628
FMA20394	human body	FJ2623
FMA20394	human body	FJ1775
FMA20394	human body	FJ2622
FMA20394	human body	FJ1536
FMA20394	human body	FJ2625
FMA20394	human body	FJ2624
FMA20394	human body	FJ1532
FMA20394	human body	FJ2621
FMA20394	human body	FJ2620
FMA20394	human body	FJ1770
FMA20394	human body	FJ2638
FMA20394	human body	FJ1306
FMA20394	human body	FJ2637
FMA20394	human body	FJ1309
FMA20394	human body	FJ1308
FMA20394	human body	FJ2639
FMA20394	human body	FJ1787
FMA20394	human body	FJ2634
FMA20394	human body	FJ1302
FMA20394	human body	FJ1786
FMA20394	human body	FJ2633
FMA20394	human body	FJ1305
FMA20394	human body	FJ1789
FMA20394	human body	FJ2636
FMA20394	human body	FJ1304
FMA20394	human body	FJ1788
FMA20394	human body	FJ2635
FMA20394	human body	FJ1783
FMA20394	human body	FJ2630
FMA20394	human body	FJ1301
FMA20394	human body	FJ1785
FMA20394	human body	FJ2632
FMA20394	human body	FJ1784
FMA20394	human body	FJ2631
FMA20394	human body	FJ1781
FMA20394	human body	FJ1780
FMA20394	human body	FJ1452M
FMA20394	human body	FJ1713
FMA20394	human body	FJ1715
FMA20394	human body	FJ1710
FMA20394	human body	FJ1711
FMA20394	human body	FJ2818
FMA20394	human body	FJ2817
FMA20394	human body	FJ1695M
FMA20394	human body	FJ2819
FMA20394	human body	FJ1725
FMA20394	human body	FJ1967
FMA20394	human body	FJ1727
FMA20394	human body	FJ1969
FMA20394	human body	FJ2816
FMA20394	human body	FJ1726
FMA20394	human body	FJ2815
FMA20394	human body	FJ2810
FMA20394	human body	FJ1720
FMA20394	human body	FJ1723
FMA20394	human body	FJ1739
FMA20394	human body	FJ1977
FMA20394	human body	FJ2824
FMA20394	human body	FJ1738
FMA20394	human body	FJ1737
FMA20394	human body	FJ1979
FMA20394	human body	FJ1732
FMA20394	human body	FJ2821
FMA20394	human body	FJ1731
FMA20394	human body	FJ2820
FMA20394	human body	FJ1976
FMA20394	human body	FJ2823
FMA20394	human body	FJ1733
FMA20394	human body	FJ2822
FMA20394	human body	FJ1970
FMA20394	human body	FJ1730
FMA20394	human body	FJ1972
FMA20394	human body	FJ1971
FMA20394	human body	FJ1431M
FMA20394	human body	FJ1747
FMA20394	human body	FJ1746
FMA20394	human body	FJ1749
FMA20394	human body	FJ1748
FMA20394	human body	FJ1743
FMA20394	human body	FJ1745
FMA20394	human body	FJ1744
FMA20394	human body	FJ1986
FMA20394	human body	FJ1740
FMA20394	human body	FJ1456M
FMA20394	human body	FJ1916
FMA20394	human body	FJ1914
FMA20394	human body	FJ1913
FMA20394	human body	FJ1675M
FMA20394	human body	FJ1928
FMA20394	human body	FJ1938
FMA20394	human body	FJ1937
FMA20394	human body	FJ1934
FMA20394	human body	FJ1936
FMA20394	human body	FJ1935
FMA20394	human body	FJ1932
FMA20394	human body	FJ1931
FMA20394	human body	FJ1677M
FMA20394	human body	FJ1459M
FMA20394	human body	FJ1707
FMA20394	human body	FJ1706
FMA20394	human body	FJ1709
FMA20394	human body	FJ1708
FMA20394	human body	FJ1703
FMA20394	human body	FJ1702
FMA20394	human body	FJ1705
FMA20394	human body	FJ1704
FMA20394	human body	FJ1701
FMA20394	human body	FJ1700
FMA20394	human body	FJ3062
FMA20394	human body	FJ3061
FMA20394	human body	FJ3064
FMA20394	human body	FJ1654M
FMA20394	human body	FJ3063
FMA20394	human body	FJ1678M
FMA20394	human body	FJ3060
FMA20394	human body	FJ3059
FMA20394	human body	FJ3058
FMA20394	human body	FJ3055
FMA20394	human body	FJ3297
FMA20394	human body	FJ3054
FMA20394	human body	FJ3296
FMA20394	human body	FJ3057
FMA20394	human body	FJ3299
FMA20394	human body	FJ3056
FMA20394	human body	FJ3298
FMA20394	human body	FJ3073
FMA20394	human body	FJ3072
FMA20394	human body	FJ3075
FMA20394	human body	FJ3074
FMA20394	human body	FJ3071
FMA20394	human body	FJ3070
FMA20394	human body	FJ3069
FMA20394	human body	FJ3066
FMA20394	human body	FJ3065
FMA20394	human body	FJ3068
FMA20394	human body	FJ3067
FMA20394	human body	FJ3083
FMA20394	human body	FJ3086
FMA20394	human body	FJ3080
FMA20394	human body	FJ1656M
FMA20394	human body	FJ3082
FMA20394	human body	FJ3081
FMA20394	human body	FJ3077
FMA20394	human body	FJ3076
FMA20394	human body	FJ3079
FMA20394	human body	FJ3078
FMA20394	human body	FJ3095
FMA20394	human body	FJ3096
FMA20394	human body	FJ3091
FMA20394	human body	FJ3090
FMA20394	human body	FJ3093
FMA20394	human body	FJ3092
FMA20394	human body	FJ3088
FMA20394	human body	FJ3089
FMA20394	human body	FJ3260
FMA20394	human body	FJ2170
FMA20394	human body	FJ3020
FMA20394	human body	FJ3262
FMA20394	human body	FJ2172
FMA20394	human body	FJ3261
FMA20394	human body	FJ1658M
FMA20394	human body	FJ3019
FMA20394	human body	FJ3018
FMA20394	human body	FJ3015
FMA20394	human body	FJ3257
FMA20394	human body	FJ3014
FMA20394	human body	FJ3256
FMA20394	human body	FJ3017
FMA20394	human body	FJ3259
FMA20394	human body	FJ2169
FMA20394	human body	FJ3016
FMA20394	human body	FJ3258
FMA20394	human body	FJ3499
FMA20394	human body	FJ2164
FMA20394	human body	FJ3011
FMA20394	human body	FJ3253
FMA20394	human body	FJ2163
FMA20394	human body	FJ3010
FMA20394	human body	FJ3252
FMA20394	human body	FJ3013
FMA20394	human body	FJ3255
FMA20394	human body	FJ3494
FMA20394	human body	FJ3012
FMA20394	human body	FJ3254
FMA20394	human body	FJ3271
FMA20394	human body	FJ1720M
FMA20394	human body	FJ3031
FMA20394	human body	FJ3273
FMA20394	human body	FJ3030
FMA20394	human body	FJ3272
FMA20394	human body	FJ3029
FMA20394	human body	FJ2179
FMA20394	human body	FJ3026
FMA20394	human body	FJ3268
FMA20394	human body	FJ3025
FMA20394	human body	FJ3267
FMA20394	human body	FJ3028
FMA20394	human body	FJ3027
FMA20394	human body	FJ3269
FMA20394	human body	FJ3022
FMA20394	human body	FJ3264
FMA20394	human body	FJ3021
FMA20394	human body	FJ3263
FMA20394	human body	FJ3024
FMA20394	human body	FJ3023
FMA20394	human body	FJ3265
FMA20394	human body	FJ3040
FMA20394	human body	FJ3282
FMA20394	human body	FJ3281
FMA20394	human body	FJ3042
FMA20394	human body	FJ3284
FMA20394	human body	FJ3041
FMA20394	human body	FJ3283
FMA20394	human body	FJ3280
FMA20394	human body	FJ3037
FMA20394	human body	FJ3279
FMA20394	human body	FJ3036
